hour,weather,traffic_density,historical_crash_proximity,risk_score
7,1,0.742,0.088,53.6
20,1,0.141,0.419,45.5
1,1,0.822,0.97,93.6
3,0,0.794,0.739,57.8
14,0,0.973,0.198,42.5
3,0,0.15,0.285,28.0
12,0,0.907,0.948,65.2
11,0,0.341,0.221,22.0
12,0,0.416,0.441,29.5
13,1,0.468,0.356,62.8
19,0,0.627,0.49,42.6
17,0,0.995,0.237,45.9
5,0,0.6,0.668,50.2
10,0,0.927,0.235,53.3
1,0,0.255,0.602,35.3
22,0,0.398,0.358,36.5
18,0,0.504,0.251,32.2
18,0,0.323,0.695,31.0
4,1,0.977,0.965,99.7
18,0,0.726,0.869,52.3
1,0,0.479,0.087,35.5
9,0,0.751,0.454,47.8
1,0,0.467,0.695,43.8
10,1,0.017,0.563,42.3
17,0,0.543,0.726,39.5
23,0,0.625,0.975,64.4
14,1,0.981,0.342,75.6
8,0,0.041,0.771,27.8
22,0,0.512,0.094,36.1
18,0,0.098,0.87,26.6
8,0,0.149,0.778,29.8
2,1,0.61,0.521,72.0
20,0,0.232,0.821,35.2
8,0,0.749,0.667,48.4
13,0,0.514,0.552,37.8
18,0,0.218,0.946,34.3
6,0,0.494,0.13,27.1
15,0,0.001,0.993,22.5
15,0,0.863,0.154,42.9
0,0,0.013,0.48,19.1
3,1,0.007,0.231,41.0
3,0,0.612,0.272,44.5
6,0,0.974,0.632,61.2
7,0,0.856,0.035,44.5
16,1,0.252,0.941,61.8
4,1,0.197,0.28,48.8
6,1,0.626,0.273,61.4
19,0,0.823,0.864,52.6
19,1,0.362,0.765,59.6
3,0,0.432,0.672,48.6
5,0,0.115,0.146,24.5
6,0,0.153,0.77,30.4
17,1,0.568,0.361,55.7
4,1,0.103,0.994,60.9
19,1,0.202,0.671,56.0
2,1,0.235,0.836,70.7
6,0,0.444,0.734,37.4
21,0,0.046,0.594,18.6
13,0,0.5,0.716,42.8
6,1,0.929,0.597,80.7
4,0,0.024,0.051,18.8
21,1,0.631,0.346,59.4
4,0,0.836,0.316,58.2
22,0,0.312,0.714,41.2
1,0,0.132,0.576,27.6
20,0,0.043,0.61,16.6
21,1,0.644,0.847,70.9
5,0,0.552,0.525,52.0
14,0,0.229,0.218,16.4
20,0,0.832,0.012,39.7
9,0,0.736,0.159,31.3
22,0,0.276,0.031,29.5
23,0,0.753,0.237,47.5
6,1,0.245,0.635,53.7
4,0,0.675,0.151,46.2
0,0,0.119,0.082,23.3
12,0,0.692,0.971,53.1
20,0,0.239,0.997,40.2
17,0,0.572,0.637,41.3
12,0,0.172,0.109,20.8
20,0,0.726,0.822,52.4
20,0,0.061,0.539,19.0
17,0,0.165,0.182,17.9
4,1,0.184,0.576,59.5
12,1,0.041,0.039,33.8
3,0,0.745,0.972,65.3
16,0,0.981,0.826,61.5
2,0,0.778,0.261,57.7
16,0,0.861,0.419,54.6
10,1,0.006,0.395,39.1
20,1,0.118,0.861,55.7
19,0,0.559,0.355,38.1
22,0,0.978,0.048,58.4
20,0,0.661,0.215,37.4
3,0,0.374,0.216,36.3
1,1,0.146,0.949,66.5
19,0,0.153,0.924,27.4
15,0,0.363,0.301,25.3
17,0,0.714,0.003,30.0
7,0,0.032,0.517,18.3
2,0,0.852,0.797,66.3
8,0,0.942,0.269,50.1
19,0,0.889,0.439,47.0
5,1,0.913,0.173,82.9
9,1,0.015,0.327,38.6
20,0,0.978,0.759,66.0
9,1,0.366,0.428,55.6
12,0,0.869,0.447,46.9
16,1,0.187,0.79,49.2
8,1,0.447,0.763,63.8
16,0,0.044,0.187,7.4
23,1,0.04,0.415,47.7
8,0,0.943,0.849,56.8
8,0,0.811,0.457,44.8
0,0,0.53,0.662,53.8
1,1,0.525,0.306,64.2
15,1,0.749,0.06,59.9
0,0,0.342,0.165,27.7
9,0,0.762,0.402,38.4
17,0,0.485,0.353,30.6
7,1,0.638,0.896,74.1
20,0,0.965,0.546,51.1
10,1,0.471,0.627,56.8
22,0,0.418,0.689,39.9
1,0,0.906,0.532,62.3
7,0,0.903,0.77,59.3
21,1,0.992,0.783,81.1
7,0,0.551,0.351,32.1
16,1,0.344,0.085,48.7
14,0,0.24,0.986,33.7
16,0,0.034,0.643,18.9
22,1,0.727,0.709,84.4
23,1,0.233,0.757,63.1
12,1,0.607,0.613,64.2
18,0,0.917,0.471,52.0
4,0,0.95,0.985,68.6
11,0,0.004,0.728,14.9
0,0,0.317,0.846,42.5
22,1,0.837,0.44,84.4
4,0,0.536,0.905,58.0
7,0,0.808,0.732,50.5
12,0,0.853,0.746,56.5
7,0,0.443,0.087,28.6
22,0,0.359,0.617,41.8
10,0,0.455,0.335,31.8
0,0,0.653,0.669,60.1
12,0,0.367,0.568,28.9
18,1,0.775,0.111,62.5
23,0,0.904,0.53,66.6
2,0,0.282,0.451,32.5
23,1,0.965,0.776,94.6
16,1,0.623,0.503,63.1
4,1,0.878,0.481,88.8
19,1,0.104,0.719,45.0
20,0,0.251,0.669,28.2
7,0,0.321,0.992,34.5
13,0,0.303,0.352,19.8
3,0,0.172,0.688,29.9
10,1,0.868,0.167,67.6
19,0,0.419,0.805,39.3
14,1,0.963,0.786,84.3
18,1,0.583,0.726,68.6
6,0,0.138,0.119,11.6
18,1,0.546,0.988,74.5
18,0,0.994,0.943,65.8
10,0,0.565,0.37,35.4
4,1,0.002,0.577,52.2
4,0,0.933,0.889,68.7
21,1,0.235,0.495,55.1
7,0,0.689,0.599,46.9
9,0,0.515,0.603,37.4
5,1,0.325,0.649,65.5
14,0,0.283,0.576,26.6
15,0,0.929,0.406,49.4
16,0,0.912,0.539,53.0
7,1,0.513,0.871,62.8
7,0,0.258,0.864,31.9
8,1,0.102,0.773,49.2
1,0,0.157,0.414,29.5
14,0,0.522,0.786,42.1
17,1,0.308,0.388,50.2
2,0,0.042,0.664,31.2
16,0,0.455,0.567,34.2
3,1,0.746,0.3,78.8
3,1,0.892,0.453,86.7
13,0,0.585,0.83,51.8
8,0,0.723,0.913,54.3
8,1,0.364,0.205,46.4
22,1,0.496,0.456,68.5
17,1,0.73,0.434,66.3
9,0,0.728,0.489,43.9
20,1,0.425,0.977,69.8
3,0,0.544,0.519,46.1
11,0,0.924,0.83,56.9
7,0,0.632,0.664,45.1
1,0,0.643,0.107,40.4
21,0,0.785,0.696,47.7
12,0,0.115,0.647,23.7
20,0,0.523,0.758,35.7
15,0,0.959,0.074,43.4
1,0,0.362,0.241,36.9
10,0,0.295,0.769,26.7
9,0,0.601,0.371,31.2
14,0,0.221,0.911,27.8
16,0,0.556,0.518,29.4
7,0,0.156,0.001,16.9
17,1,0.58,0.699,67.5
22,1,0.602,0.513,72.4
8,1,0.418,0.317,49.2
7,0,0.383,0.02,27.3
13,0,0.245,0.199,20.8
17,0,0.331,0.162,21.1
21,1,0.498,0.583,65.2
19,0,0.248,0.77,31.5
19,0,0.783,0.235,39.5
20,0,0.709,0.698,45.5
11,0,0.269,0.9,32.0
18,1,0.097,0.622,43.3
13,1,0.0,0.776,48.9
16,1,0.597,0.204,56.4
23,0,0.211,0.075,29.0
20,1,0.013,0.365,35.3
2,0,0.359,0.709,41.7
22,1,0.962,0.686,90.8
6,0,0.69,0.955,49.0
16,0,0.858,0.63,50.2
11,0,0.145,0.411,20.7
8,0,0.073,0.797,27.5
14,1,0.012,0.153,34.4
17,1,0.956,0.813,80.9
20,0,0.3,0.366,22.5
12,0,0.46,0.154,24.7
20,0,0.395,0.162,29.1
7,1,0.73,0.984,81.8
13,0,0.31,0.623,33.5
7,0,0.535,0.174,27.8
13,0,0.996,0.269,46.4
6,0,0.444,0.372,31.9
22,1,0.551,0.056,61.8
11,0,0.503,0.108,28.1
10,0,0.803,0.762,53.6
21,1,0.267,0.787,55.2
21,0,0.17,0.988,34.6
10,0,0.754,0.068,32.1
21,0,0.416,0.889,39.7
12,0,0.914,0.317,49.9
17,0,0.644,0.328,42.4
1,1,0.564,0.127,65.5
20,1,0.07,0.986,56.3
14,1,0.73,0.981,82.4
19,1,0.686,0.865,81.7
17,0,0.64,0.091,33.4
14,0,0.268,0.842,38.7
18,0,0.947,0.635,58.0
22,1,0.322,0.129,50.8
23,0,0.152,0.262,26.4
11,0,0.987,0.689,55.5
12,0,0.746,0.803,55.5
21,0,0.415,0.848,39.1
10,0,0.936,0.544,49.4
4,1,0.091,0.535,57.0
0,0,0.088,0.684,36.2
23,1,0.682,0.778,81.6
2,0,0.178,0.171,24.2
21,1,0.917,0.74,82.1
18,1,0.84,0.342,65.0
22,1,0.306,0.384,62.1
6,0,0.889,0.078,47.2
11,0,0.043,0.588,16.5
14,0,0.549,0.093,34.3
4,0,0.936,0.913,73.7
14,0,0.855,0.621,51.4
7,1,0.356,0.99,66.0
9,0,0.183,0.246,22.0
15,0,0.211,0.68,27.4
7,0,0.515,0.964,46.0
0,1,0.597,0.299,68.2
11,1,0.033,0.096,32.9
4,0,0.414,0.634,46.3
2,0,0.83,0.366,55.0
0,1,0.444,0.273,61.7
3,0,0.169,0.994,45.1
7,0,0.955,0.754,59.7
2,1,0.266,0.485,58.9
9,1,0.798,0.05,68.2
1,0,0.194,0.192,32.9
10,0,0.423,0.299,30.9
9,0,0.49,0.487,30.8
20,0,0.501,0.497,36.2
13,0,0.516,0.025,27.9
6,0,0.225,0.943,28.1
1,0,0.516,0.543,50.1
8,0,0.482,0.02,25.3
15,0,0.209,0.701,30.7
12,0,0.988,0.071,45.0
8,0,0.866,0.721,55.5
19,0,0.888,0.701,56.1
3,0,0.686,0.985,62.7
21,0,0.16,0.342,19.7
9,1,0.568,0.144,55.2
21,0,0.821,0.092,36.1
11,1,0.039,0.072,26.9
16,0,0.496,0.81,39.2
13,0,0.396,0.719,37.6
13,0,0.212,0.976,29.9
1,0,0.378,0.309,39.5
20,1,0.983,0.803,89.6
19,1,0.723,0.093,62.2
10,1,0.3,0.904,59.6
15,0,0.605,0.052,33.3
18,0,0.247,0.788,34.1
22,0,0.611,0.307,44.9
5,0,0.896,0.181,54.7
23,0,0.557,0.705,48.9
18,1,0.733,0.896,78.1
4,1,0.453,0.764,67.2
3,0,0.524,0.313,41.3
14,0,0.695,0.354,37.3
3,0,0.812,0.189,51.0
19,0,0.659,0.824,45.5
9,0,0.977,0.107,40.5
23,1,0.82,0.903,88.9
21,0,0.777,0.601,46.7
2,0,0.845,0.589,63.8
4,0,0.281,0.838,41.1
5,0,0.432,0.668,43.1
20,1,0.564,0.304,55.1
21,0,0.462,0.35,33.9
7,1,0.847,0.173,66.7
6,0,0.027,0.464,16.2
20,1,0.209,0.11,35.9
9,0,0.882,0.653,48.1
5,0,0.059,0.169,18.0
13,1,0.227,0.864,61.2
3,1,0.351,0.7,64.8
12,1,0.751,0.892,76.0
19,0,0.56,0.087,29.2
16,1,0.955,0.799,82.3
22,1,0.228,0.881,68.2
6,0,0.872,0.045,38.3
3,1,0.283,0.999,68.0
13,0,0.245,0.301,29.0
2,0,0.498,0.212,36.4
23,0,0.071,0.415,28.5
4,1,0.384,0.009,52.7
15,0,0.356,0.886,32.3
22,0,0.16,0.268,26.5
19,0,0.861,0.522,45.8
3,0,0.386,0.624,41.7
23,0,0.982,0.791,67.7
23,0,0.9,0.25,59.7
1,1,0.195,0.717,57.5
17,1,0.505,0.118,54.6
18,1,0.602,0.704,69.0
18,1,0.819,0.919,80.5
16,0,0.886,0.085,39.9
13,0,0.624,0.117,32.8
18,0,0.035,0.557,18.2
21,0,0.481,0.046,26.4
23,1,0.885,0.187,78.3
12,0,0.714,0.19,33.9
11,1,0.87,0.481,77.1
5,0,0.674,0.248,46.9
20,1,0.044,0.476,39.4
3,0,0.968,0.521,61.1
18,0,0.918,0.731,59.1
15,1,0.127,0.946,58.1
12,0,0.113,0.504,21.3
3,1,0.539,0.355,70.6
22,0,0.757,0.259,54.0
16,0,0.382,0.635,31.9
22,1,0.136,0.943,70.7
0,0,0.511,0.765,47.5
17,1,0.338,0.206,46.9
19,0,0.352,0.893,34.6
16,0,0.645,0.736,45.7
14,0,0.886,0.128,48.2
10,0,0.559,0.713,40.9
21,0,0.688,0.289,39.6
12,0,0.66,0.491,32.5
0,0,0.551,0.3,44.3
16,0,0.311,0.084,22.1
5,0,0.378,0.769,45.9
3,0,0.316,0.829,41.0
19,0,0.917,0.232,42.7
15,0,0.827,0.24,41.2
14,0,0.579,0.43,33.1
14,0,0.912,0.811,62.4
5,0,0.886,0.077,53.4
14,1,0.928,0.809,87.6
13,1,0.222,0.923,56.5
10,0,0.718,0.562,42.6
6,0,0.609,0.06,28.5
8,1,0.734,0.27,63.4
15,0,0.263,0.111,16.3
4,1,0.695,0.259,76.6
19,1,0.41,0.812,65.4
9,0,0.834,0.056,40.3
17,0,0.795,0.284,37.5
2,1,0.211,0.517,59.7
12,1,0.184,0.874,53.9
10,0,0.718,0.25,42.9
16,0,0.55,0.778,45.3
21,0,0.557,0.584,39.4
12,0,0.753,0.676,42.3
5,1,0.855,0.862,91.0
16,1,0.239,0.026,38.1
12,0,0.556,0.53,39.0
18,1,0.829,0.747,74.7
20,0,0.873,0.885,58.4
18,0,0.287,0.133,12.5
9,0,0.104,0.341,11.8
2,0,0.233,0.079,23.2
13,0,0.945,0.835,57.9
18,0,0.462,0.857,41.8
4,1,0.419,0.484,61.4
4,1,0.013,0.021,39.0
19,0,0.051,0.102,7.2
16,0,0.669,0.624,46.3
20,0,0.59,0.983,47.7
9,1,0.576,0.839,66.9
4,0,0.11,0.798,32.1
3,0,0.352,0.418,35.8
5,0,0.812,0.985,62.3
3,0,0.175,0.825,43.4
6,0,0.883,0.336,47.0
6,1,0.121,0.748,47.1
17,1,0.169,0.433,42.3
2,0,0.478,0.66,43.7
0,0,0.945,0.97,73.3
23,0,0.33,0.246,28.2
3,1,0.658,0.795,81.7
5,0,0.589,0.59,52.1
8,0,0.15,0.95,28.2
21,0,0.248,0.134,14.6
13,0,0.93,0.72,59.1
11,0,0.185,0.037,9.7
19,0,0.695,0.247,36.9
23,0,0.965,0.321,60.4
3,0,0.12,0.432,26.6
20,0,0.399,0.965,36.7
23,0,0.224,0.068,23.6
11,0,0.222,0.169,18.3
9,0,0.119,0.203,11.6
21,0,0.65,0.424,40.8
6,1,0.746,0.061,60.3
2,0,0.677,0.965,59.6
22,0,0.925,0.56,61.0
13,0,0.146,0.813,27.8
23,0,0.32,0.772,46.6
9,0,0.345,0.661,32.4
15,1,0.232,0.904,54.5
15,0,0.142,0.902,32.0
21,0,0.487,0.128,24.4
9,1,0.834,0.902,86.6
12,1,0.955,0.524,78.2
5,1,0.129,0.268,47.9
11,1,0.823,0.609,76.8
8,1,0.825,0.281,67.7
12,0,0.389,0.479,31.5
3,0,0.11,0.816,36.0
23,0,0.99,0.032,51.1
10,1,0.656,0.183,59.7
19,1,0.982,0.957,89.9
17,0,0.484,0.445,33.6
10,0,0.395,0.303,30.6
20,1,0.247,0.923,59.3
3,1,0.984,0.911,96.8
17,0,0.253,0.044,16.6
0,1,0.024,0.362,46.7
6,0,0.512,0.913,44.8
5,0,0.377,0.18,34.8
14,0,0.261,0.578,23.3
17,0,0.635,0.321,39.1
23,0,0.364,0.737,51.0
10,1,0.402,0.158,50.9
19,1,0.023,0.596,36.8
23,1,0.589,0.0,62.3
14,0,0.122,0.253,11.1
15,0,0.214,0.162,15.9
6,0,0.717,0.21,39.9
20,0,0.313,0.86,32.6
9,0,0.163,0.915,35.5
11,0,0.577,0.755,34.6
23,0,0.215,0.59,34.7
13,1,0.271,0.231,46.6
4,0,0.621,0.275,41.7
20,1,0.74,0.31,62.5
17,0,0.74,0.777,52.4
4,1,0.482,0.253,70.1
2,0,0.454,0.973,58.8
22,0,0.788,0.796,61.4
4,0,0.193,1.0,46.8
23,1,0.152,0.459,55.1
16,0,0.665,0.589,46.1
18,0,0.41,0.28,26.4
18,1,0.71,0.604,67.1
20,0,0.257,0.974,39.5
11,0,0.325,0.03,24.2
8,0,0.897,0.289,45.4
0,0,0.422,0.281,40.3
17,0,0.591,0.982,47.9
20,0,0.107,0.133,18.5
3,0,0.179,0.812,33.9
9,0,0.036,0.275,11.4
6,1,0.424,0.861,59.8
21,0,0.989,0.488,49.6
22,0,0.874,0.242,54.5
0,0,0.633,0.71,53.2
16,0,0.861,0.842,53.2
23,0,0.594,0.47,50.7
1,0,0.369,0.714,47.9
10,0,0.174,0.182,17.1
8,1,0.653,0.938,69.2
6,0,0.193,0.096,15.7
21,0,0.417,0.222,27.1
16,0,0.826,0.288,41.3
16,0,0.129,0.153,14.3
1,1,0.129,0.407,51.8
5,0,0.224,0.458,30.7
13,0,0.552,0.519,33.9
5,0,0.252,0.041,28.4
1,0,0.503,0.219,43.4
0,0,0.302,0.808,42.8
9,0,0.506,0.811,44.4
20,0,0.278,0.33,27.3
4,0,0.98,0.461,63.8
1,0,0.493,0.183,38.1
21,0,0.744,0.822,52.6
15,0,0.701,0.957,49.6
1,0,0.491,0.291,42.1
9,1,0.239,0.782,55.6
1,0,0.511,0.352,38.6
15,1,0.681,0.003,53.4
15,0,0.46,0.6,32.4
18,1,0.082,0.41,43.0
6,0,0.018,0.758,19.9
21,0,0.328,0.749,33.0
11,1,0.15,0.946,59.0
23,1,0.906,0.438,86.3
14,0,0.176,0.483,19.8
7,0,0.394,0.4,25.8
5,0,0.712,0.297,50.3
9,1,0.815,0.638,72.5
2,0,0.478,0.828,54.4
18,0,0.181,0.158,16.1
16,1,0.271,0.982,60.9
6,1,0.419,0.684,57.6
20,0,0.365,0.78,37.0
19,0,0.349,0.999,42.3
3,1,0.132,0.504,54.9
13,0,0.913,0.071,45.7
19,1,0.03,0.79,45.8
21,0,0.44,0.871,39.8
14,0,0.98,0.162,53.7
23,0,0.66,0.024,40.8
7,0,0.355,0.136,23.6
20,1,0.146,0.324,41.2
14,0,0.964,0.924,62.9
21,0,0.014,0.002,7.7
19,0,0.681,0.804,45.6
13,0,0.88,0.855,55.2
8,0,0.025,0.811,23.9
7,0,0.725,0.082,36.1
16,0,0.999,0.679,62.1
1,1,0.64,0.954,85.5
23,1,0.415,0.12,64.6
2,0,0.874,0.032,52.7
7,0,0.554,0.874,50.3
11,0,0.749,0.645,52.9
0,0,0.588,0.646,49.5
9,1,0.038,0.964,55.3
19,0,0.213,0.77,31.7
2,0,0.079,0.397,28.7
5,0,0.107,0.436,31.5
6,0,0.015,0.145,7.6
19,0,0.421,0.304,28.9
22,0,0.179,0.445,29.8
17,0,0.856,0.261,51.4
10,1,0.75,0.916,76.1
18,1,0.573,0.012,49.3
4,1,0.489,0.587,68.8
18,1,0.256,0.772,55.5
10,0,0.475,0.732,38.5
23,1,0.641,0.644,81.2
11,0,0.782,0.41,44.6
9,0,0.082,0.918,25.2
7,1,0.708,0.329,66.4
23,0,0.743,0.75,63.2
8,1,0.559,0.927,71.5
3,0,0.214,0.128,28.7
4,1,0.539,0.947,80.8
20,0,0.503,0.776,39.8
7,0,0.476,0.617,38.5
22,0,0.461,0.373,41.6
8,1,0.111,0.904,55.5
14,0,0.183,0.044,17.8
14,0,0.097,0.432,17.2
15,0,0.242,0.757,31.8
13,0,0.263,0.811,35.0
7,0,0.245,0.202,20.1
17,0,0.211,0.048,15.9
9,1,0.735,0.803,75.9
19,0,0.819,0.422,46.9
5,0,0.327,0.144,32.5
11,0,0.305,0.086,17.1
1,0,0.844,0.641,56.5
6,0,0.624,0.583,41.4
15,1,0.293,0.854,58.3
2,0,0.714,0.032,49.0
12,0,0.345,0.868,37.0
2,0,0.587,0.887,57.9
17,0,0.993,0.446,52.4
10,0,0.302,0.077,16.8
7,0,0.931,0.947,58.7
5,1,0.321,0.072,50.5
0,0,0.54,0.591,50.6
0,0,0.46,0.493,44.2
22,0,0.783,0.835,67.5
7,0,0.061,0.503,19.1
4,1,0.627,0.469,75.2
15,0,0.761,0.881,47.1
10,1,0.472,0.964,73.9
4,0,0.105,0.549,30.3
3,0,0.245,0.455,27.6
5,0,0.68,0.831,59.5
13,0,0.895,0.831,55.0
21,0,0.422,0.319,25.7
18,0,0.56,0.576,39.7
8,0,0.228,0.154,15.5
11,0,0.412,0.636,37.3
10,0,0.337,0.834,34.8
13,0,0.656,0.188,36.2
22,1,0.985,0.323,87.5
15,0,0.813,0.449,47.3
0,1,0.192,0.845,65.2
12,0,0.578,0.731,43.2
22,0,0.066,0.317,28.5
20,0,0.247,0.243,22.3
20,0,0.172,0.696,23.7
12,0,0.336,0.48,24.7
1,0,0.679,0.594,51.6
3,0,0.499,0.649,49.2
5,0,0.933,0.559,60.2
22,1,0.213,0.613,58.8
4,0,0.364,0.888,43.3
2,0,0.33,0.868,48.4
0,0,0.236,0.149,29.4
3,1,0.993,0.586,94.1
19,0,0.387,0.439,27.9
1,0,0.941,0.286,53.1
4,1,0.39,0.631,65.7
2,1,0.204,0.511,54.3
8,0,0.119,0.775,21.2
19,0,0.856,0.093,44.5
5,1,0.032,0.303,46.6
17,1,0.964,0.026,70.0
5,0,0.418,0.746,50.0
18,0,0.247,0.912,30.1
11,0,0.617,0.587,43.3
10,0,0.133,0.617,18.3
1,0,0.072,0.046,19.6
14,0,0.828,0.504,51.4
11,1,0.425,0.527,54.1
11,1,0.518,0.039,54.0
8,0,0.177,0.782,28.4
20,0,0.061,0.278,11.7
23,0,0.368,0.723,40.6
1,0,0.506,0.403,44.0
21,0,0.765,0.996,57.0
2,0,0.501,0.212,38.3
11,0,0.783,0.058,34.5
15,0,0.115,0.98,31.5
20,1,0.064,0.244,41.0
23,0,0.159,0.635,36.9
0,0,0.772,0.375,58.1
20,1,0.759,0.64,71.2
2,0,0.141,0.596,28.3
19,0,0.031,0.707,21.6
1,0,0.685,0.018,41.6
8,1,0.855,0.836,83.9
18,0,0.754,0.479,41.6
14,0,0.203,0.519,20.6
17,0,0.584,0.411,36.8
10,0,0.757,0.989,55.6
22,0,0.256,0.802,43.3
15,0,0.528,0.311,32.0
21,1,0.314,0.783,52.5
16,1,0.226,0.437,58.1
4,0,0.97,0.87,71.3
11,0,0.913,0.031,50.8
10,0,0.446,0.355,29.6
14,1,0.137,0.43,40.9
2,0,0.728,0.744,58.0
0,0,0.256,0.182,32.2
19,1,0.169,0.286,44.3
15,1,0.382,0.724,60.7
1,0,0.53,0.077,37.5
1,1,0.097,0.201,48.3
2,1,0.572,0.753,77.5
7,0,0.015,0.876,26.7
23,0,0.892,0.729,68.0
14,1,0.921,0.527,74.5
6,0,0.733,0.099,31.9
5,0,0.467,0.827,46.5
8,0,0.255,0.124,16.6
19,1,0.744,0.385,68.1
0,1,0.932,0.05,78.1
7,0,0.159,0.71,27.4
22,1,0.466,0.503,68.7
22,1,0.315,0.908,75.5
2,1,0.357,0.139,58.6
3,0,0.406,0.819,47.7
14,0,0.952,0.511,48.8
5,0,0.259,0.366,33.7
14,0,0.493,0.644,39.1
20,0,0.951,0.79,56.7
2,1,0.476,0.44,64.4
20,0,0.864,0.233,47.5
20,1,0.059,0.916,47.8
13,0,0.953,0.313,49.9
19,0,0.188,0.998,32.6
13,0,0.98,0.767,60.9
3,0,0.176,0.688,32.9
11,0,0.444,0.012,22.7
16,1,0.309,0.449,48.4
6,0,0.433,0.502,32.6
8,0,0.251,0.376,24.1
2,0,0.965,0.15,59.3
12,0,0.306,0.367,29.1
14,0,0.653,0.075,31.8
17,0,0.137,0.291,15.5
18,0,0.824,0.084,43.5
0,1,0.543,0.752,78.5
5,0,0.979,0.671,71.3
22,1,0.423,0.94,81.6
1,0,0.195,0.38,27.9
23,1,0.346,0.786,72.0
13,0,0.737,0.588,44.4
5,0,0.659,0.646,59.0
13,0,0.778,0.547,43.5
3,1,0.073,0.779,61.3
20,0,0.58,0.042,27.4
7,0,0.932,0.08,45.6
2,0,0.108,0.096,25.0
18,0,0.094,0.289,12.6
13,0,0.717,0.591,41.1
19,0,0.315,0.646,29.7
16,0,0.659,0.713,44.4
7,0,0.545,0.281,28.6
23,0,0.986,0.65,61.4
13,0,0.889,0.118,46.6
5,0,0.678,0.01,46.8
22,1,0.262,0.695,62.6
21,0,0.262,0.716,28.9
15,1,0.882,0.622,80.2
18,0,0.585,0.259,36.1
13,1,0.789,0.927,85.5
18,0,0.45,0.876,42.4
2,0,0.103,0.516,26.4
9,0,0.333,0.989,40.5
18,1,0.161,0.299,40.3
8,0,0.782,0.491,45.9
19,0,0.701,0.928,54.9
12,0,0.088,0.462,15.1
6,0,0.621,0.471,39.1
13,0,0.874,0.079,37.9
8,0,0.697,0.211,34.2
22,0,0.511,0.158,37.0
18,0,0.312,0.565,33.7
14,1,0.887,0.318,72.0
19,0,0.423,0.077,31.4
13,0,0.855,0.51,52.3
23,1,0.783,0.669,87.7
5,0,0.816,0.737,59.1
20,0,0.99,0.838,60.9
3,1,0.749,0.482,76.2
7,0,0.034,0.391,13.2
16,0,0.205,0.684,25.5
8,1,0.035,0.013,31.5
0,1,0.19,0.634,62.7
23,0,0.061,0.406,24.8
19,0,0.502,0.453,36.7
13,0,0.028,0.296,7.7
10,0,0.473,0.127,27.8
20,0,0.899,0.401,47.7
2,0,0.749,0.308,51.9
8,1,0.944,0.96,89.5
13,1,0.227,0.944,53.6
8,0,0.531,0.644,43.5
3,0,0.319,0.904,45.2
3,0,0.494,0.751,55.4
7,0,0.557,0.346,34.4
1,0,0.036,0.604,32.5
8,1,0.233,0.22,43.9
13,0,0.705,0.687,47.7
21,1,0.773,0.045,62.2
8,0,0.569,0.831,43.7
23,0,0.271,0.583,36.7
22,0,0.405,0.058,33.0
15,0,0.096,0.872,27.9
16,1,0.953,0.878,86.4
15,1,0.869,0.853,83.4
11,0,0.066,0.774,18.6
2,0,0.166,0.678,37.9
10,0,0.581,0.397,34.0
13,1,0.232,0.136,37.1
17,1,0.934,0.289,78.7
20,0,0.756,0.347,46.4
20,0,0.273,0.358,23.1
4,0,0.006,0.565,29.8
15,0,0.799,0.208,40.2
19,0,0.424,0.19,24.3
4,0,0.642,0.717,53.3
2,1,0.287,0.008,49.7
11,0,0.143,0.15,12.9
0,0,0.675,0.435,48.6
20,1,0.45,0.149,42.4
8,0,0.235,0.96,33.1
8,0,0.138,0.67,21.0
3,0,0.58,0.433,47.8
2,0,0.726,0.112,45.5
16,0,0.284,0.385,26.0
1,0,0.735,0.651,57.5
23,1,0.183,0.969,62.9
0,0,0.338,0.473,34.2
7,1,0.745,0.692,69.9
12,0,0.66,0.195,32.7
22,1,0.271,0.624,61.2
14,0,0.122,0.239,17.4
7,0,0.042,0.198,11.2
11,0,0.838,0.509,43.1
21,0,0.075,0.212,9.6
11,0,0.115,0.721,23.9
13,1,0.238,0.937,55.2
14,0,0.446,0.394,30.9
14,0,0.79,0.322,40.5
8,0,0.247,0.176,18.0
18,1,0.544,0.39,57.8
19,0,0.09,0.56,20.1
21,1,0.465,0.373,60.4
7,1,0.178,0.623,52.2
20,0,0.211,0.662,23.5
18,0,0.367,0.098,29.2
5,1,0.761,0.698,88.0
19,0,0.744,0.9,50.7
18,0,0.415,0.026,19.5
3,1,0.119,0.551,56.8
22,1,0.281,0.604,65.4
6,1,0.505,0.71,69.7
3,0,0.869,0.386,59.0
21,0,0.968,0.819,58.1
11,0,0.637,0.54,39.8
12,0,0.351,0.409,29.1
2,0,0.693,0.719,53.1
21,0,0.336,0.927,41.5
11,0,0.625,0.812,44.6
1,1,0.244,0.931,71.2
23,1,0.267,0.266,59.6
1,1,0.075,0.119,54.5
22,0,0.42,0.534,41.6
8,0,0.618,0.044,29.8
0,1,0.789,0.675,84.1
7,0,0.81,0.24,42.7
22,0,0.992,0.454,61.9
5,0,0.088,0.656,35.3
5,0,0.493,0.483,47.4
21,0,0.521,0.236,29.8
17,1,0.805,0.88,77.7
16,1,0.266,0.765,54.6
11,0,0.069,0.601,18.4
5,0,0.314,0.699,43.0
7,1,0.984,0.415,78.2
