traffic_density,weather_severity,time_of_day,road_condition_index,historical_incidents,risk_score
0.094,0.295,13,0.167,0,0.301
0.486,0.551,20,0.335,1,0.5626
0.921,0.627,9,0.554,4,0.6849
0.04,0.481,5,0.129,4,0.3629
0.291,0.827,10,0.676,4,0.5864
0.208,0.833,12,0.844,0,0.4321
0.238,0.851,23,0.572,3,0.563
0.908,0.803,17,0.297,4,0.7522
0.468,0.488,19,0.121,4,0.6319
0.466,0.381,13,0.016,1,0.4915
0.761,0.831,19,0.732,3,0.6556
0.154,0.49,21,0.628,4,0.5014
0.487,0.246,19,0.476,4,0.4773
0.43,0.507,10,0.102,1,0.4149
0.597,0.142,20,0.207,1,0.5246
1.0,0.692,4,0.815,2,0.5516
0.769,0.336,7,0.48,1,0.4498
0.398,0.261,3,0.963,1,0.2506
0.828,0.957,11,1.0,2,0.6106
0.171,0.777,5,0.801,4,0.446
0.03,0.787,22,0.258,1,0.5863
0.204,0.624,23,0.231,0,0.5599
0.34,0.839,7,0.254,2,0.6177
0.511,0.759,3,0.987,2,0.523
0.615,0.599,19,0.335,4,0.7091
0.911,0.961,9,0.706,1,0.758
0.51,0.192,10,0.959,0,0.2776
0.501,0.943,14,0.82,4,0.6287
0.05,0.401,4,0.598,1,0.2157
0.035,0.528,2,0.169,4,0.3795
0.551,0.123,14,0.175,2,0.3303
0.438,0.54,1,0.492,2,0.4771
0.839,0.611,1,0.952,1,0.517
0.161,0.998,7,0.904,4,0.5272
0.025,0.975,21,0.166,1,0.5633
0.449,0.966,13,0.288,3,0.7141
0.237,0.348,8,0.589,1,0.3149
0.05,0.991,4,0.477,3,0.5093
0.725,0.455,11,0.119,2,0.6338
0.112,0.852,9,0.369,0,0.4607
0.608,0.216,0,0.955,2,0.3346
0.281,0.506,23,0.951,0,0.4111
0.173,0.966,18,0.559,4,0.5572
0.38,0.947,10,0.635,0,0.5689
0.801,0.684,16,0.222,4,0.6143
0.392,0.798,2,0.742,3,0.5433
0.751,0.176,0,0.052,4,0.5566
0.125,0.722,16,0.221,1,0.5348
0.773,0.618,5,0.006,1,0.6887
0.237,0.092,12,0.386,1,0.3251
0.677,0.113,19,0.85,2,0.3799
0.566,0.108,3,0.983,1,0.275
0.929,0.724,4,0.668,4,0.725
0.387,0.142,14,0.745,4,0.3092
0.066,0.468,13,0.263,4,0.3596
0.019,0.357,18,0.52,1,0.3236
0.827,0.551,14,0.737,3,0.6366
0.525,0.706,11,0.497,3,0.6424
0.775,0.685,17,0.089,2,0.7208
0.234,0.516,13,0.741,4,0.4299
0.345,0.464,9,0.22,4,0.5054
0.03,0.398,7,0.098,2,0.326
0.961,0.862,22,0.478,4,0.8801
0.668,0.331,3,0.075,0,0.4991
0.933,0.259,17,0.629,2,0.5323
0.265,0.743,7,0.64,4,0.506
0.611,0.36,3,0.257,2,0.4656
0.678,0.847,10,0.965,0,0.6439
0.318,0.328,4,0.824,0,0.2828
0.848,0.702,9,0.11,1,0.6216
0.947,0.045,5,0.749,4,0.4387
0.885,0.386,3,0.353,0,0.492
0.739,0.343,17,0.75,0,0.454
0.277,0.817,20,0.801,0,0.456
0.282,0.967,16,0.151,1,0.6847
0.963,0.461,6,0.662,4,0.6009
0.01,0.825,8,0.863,2,0.3901
0.716,0.7,2,0.323,1,0.6031
0.706,0.967,21,0.08,4,0.861
0.623,0.811,8,0.027,0,0.5823
0.99,0.077,3,0.11,1,0.4455
0.312,0.713,21,0.004,3,0.5981
0.34,0.535,18,0.327,3,0.5387
0.079,0.016,8,0.299,0,0.1384
0.443,0.251,22,0.11,4,0.4894
0.261,0.922,22,0.651,4,0.613
0.343,0.926,19,0.992,1,0.5546
0.835,0.799,5,0.901,3,0.6142
0.935,0.982,10,0.253,4,0.8615
0.186,0.807,23,0.77,1,0.4788
0.373,0.01,14,0.937,1,0.3309
0.929,0.288,21,0.906,3,0.5422
0.062,0.031,5,0.885,0,0.0467
0.092,0.094,19,0.786,1,0.0705
0.163,0.219,23,0.293,0,0.3221
0.595,0.504,9,0.084,3,0.6705
0.15,0.848,23,0.488,1,0.4628
0.968,0.862,21,0.055,2,0.8219
0.447,0.616,17,0.998,3,0.5902
0.502,0.928,15,0.358,3,0.6225
0.247,0.5,3,0.958,2,0.3476
0.471,0.889,19,0.773,3,0.6132
0.662,0.454,12,0.411,2,0.4774
0.751,0.277,23,0.118,2,0.6192
0.754,0.916,4,0.237,3,0.6246
0.578,0.388,19,0.673,2,0.521
0.904,0.503,23,0.83,2,0.5711
0.817,0.329,18,0.979,3,0.4376
0.757,0.663,17,0.132,2,0.7663
0.056,0.995,19,0.156,0,0.5602
0.007,0.026,16,0.042,3,0.3248
0.212,0.9,15,0.26,3,0.6956
0.664,0.004,0,0.821,0,0.1784
0.411,0.364,20,0.198,4,0.4109
0.402,0.169,0,0.548,1,0.2953
0.885,0.757,19,0.446,2,0.72
0.896,0.051,23,0.326,2,0.5479
0.909,0.553,13,0.618,1,0.6838
0.314,0.295,23,0.502,2,0.3127
0.691,0.134,1,0.335,2,0.3686
0.272,0.772,14,0.689,0,0.4702
0.191,0.217,2,0.28,0,0.2536
0.185,0.224,12,0.643,0,0.2149
0.342,0.275,18,0.957,0,0.3425
0.43,0.587,0,0.729,3,0.294
0.831,0.66,12,0.418,2,0.5777
0.12,0.018,14,0.748,1,0.1921
0.735,0.242,15,0.809,2,0.4129
0.531,0.431,10,0.326,3,0.5544
0.288,0.332,2,0.705,3,0.3969
0.493,0.884,7,0.434,2,0.5351
0.3,0.788,5,0.819,2,0.4343
0.596,0.626,4,0.295,0,0.4567
0.434,0.338,14,0.938,3,0.4099
0.164,0.701,8,0.575,2,0.3846
0.117,0.844,22,0.353,1,0.6136
0.547,0.595,21,0.419,1,0.5342
0.902,0.784,4,0.348,0,0.6233
0.344,0.749,20,0.146,0,0.6225
0.733,0.572,9,0.068,2,0.6366
0.659,0.312,5,0.322,1,0.4921
0.932,0.746,10,0.459,3,0.6599
0.821,0.207,3,0.362,4,0.5046
0.567,0.779,19,0.014,1,0.7553
0.657,0.805,11,0.579,3,0.6466
0.898,0.822,19,0.145,1,0.7083
0.4,0.473,5,0.211,2,0.5516
0.327,0.192,0,0.121,4,0.3166
0.011,0.1,17,0.52,4,0.2212
0.827,0.743,1,0.095,2,0.6203
0.801,0.886,4,0.256,2,0.7698
0.104,0.651,15,0.452,0,0.5477
0.577,0.144,11,0.168,3,0.4445
0.464,0.935,11,0.446,3,0.7551
0.119,0.989,10,0.343,0,0.6315
0.981,0.433,19,0.861,3,0.6114
0.215,0.595,18,0.795,4,0.4484
0.067,0.777,20,0.993,1,0.3786
0.595,0.736,6,0.529,4,0.6198
0.739,0.968,1,0.575,0,0.7251
0.032,0.115,5,0.947,3,0.1475
0.659,0.581,3,0.4,3,0.5506
0.532,0.692,1,0.556,1,0.4913
0.103,0.89,16,0.379,1,0.5466
0.173,0.874,7,0.546,1,0.4519
0.568,0.978,4,0.081,4,0.7328
0.296,0.512,9,0.784,0,0.3059
0.938,0.831,15,0.985,0,0.5867
0.819,0.427,1,0.066,0,0.5683
0.984,0.422,23,0.801,4,0.5997
0.26,0.253,18,0.242,2,0.3921
0.97,0.818,6,0.198,3,0.7659
0.431,0.986,1,0.693,4,0.6498
0.348,0.256,12,0.044,0,0.3723
0.05,0.056,22,0.463,4,0.316
0.053,0.816,3,0.001,4,0.4634
0.692,0.62,15,0.554,2,0.6538
0.458,0.96,9,0.462,1,0.6393
0.227,0.252,16,0.915,0,0.3001
0.614,0.071,20,0.72,4,0.4285
0.253,0.492,13,0.126,1,0.4655
0.578,0.085,11,0.355,3,0.3821
0.359,0.262,12,0.932,3,0.3319
0.824,0.126,19,0.725,3,0.4154
0.821,0.224,7,0.594,4,0.4543
0.477,0.106,16,0.559,4,0.359
0.351,0.954,17,0.398,2,0.6232
0.363,0.279,20,0.585,0,0.2214
0.806,0.444,9,0.772,1,0.4313
0.328,0.899,12,0.128,3,0.5765
0.209,0.677,1,0.97,1,0.406
0.085,0.618,16,0.239,2,0.4074
0.467,0.706,5,0.448,3,0.5026
0.482,0.829,11,0.023,1,0.6409
0.841,0.878,12,0.55,0,0.6861
0.221,0.643,3,0.382,0,0.4164
0.381,0.89,14,0.25,2,0.6045
0.808,0.535,15,0.986,1,0.5057
0.824,0.277,20,0.428,2,0.6273
0.385,0.88,18,0.414,2,0.6217
0.459,0.541,14,0.463,2,0.5112
0.303,0.906,5,0.116,4,0.6868
0.933,0.04,19,0.393,0,0.5029
0.119,0.398,5,0.336,4,0.2846
0.934,0.948,4,0.465,4,0.8074
0.684,0.25,1,0.857,0,0.319
0.532,0.942,19,0.193,2,0.8136
0.033,0.954,1,0.608,1,0.3723
0.476,0.882,4,0.038,2,0.6064
0.408,0.564,2,0.317,2,0.4495
0.161,0.647,5,0.473,4,0.4938
0.656,0.87,10,0.074,1,0.7595
0.971,0.776,4,0.544,0,0.6322
0.562,0.63,17,0.31,3,0.6549
0.715,0.982,13,0.993,0,0.5826
0.068,0.686,9,0.631,1,0.3712
0.418,0.975,23,0.244,0,0.6998
0.116,0.057,21,0.103,4,0.4526
0.613,0.139,2,0.041,1,0.4556
0.938,0.451,15,0.091,3,0.7567
0.662,0.385,15,0.68,3,0.489
0.077,0.783,10,0.855,1,0.2939
0.355,0.161,3,0.157,0,0.4162
0.551,0.976,10,0.402,3,0.6161
0.403,0.315,7,0.354,1,0.3561
0.834,0.429,15,0.645,1,0.5273
0.815,0.275,22,0.183,1,0.6382
0.612,0.579,7,0.953,2,0.5202
0.373,0.059,8,0.729,0,0.1758
0.255,0.15,13,0.955,1,0.2196
0.106,0.746,7,0.277,1,0.4141
0.355,0.187,23,0.588,2,0.3296
0.413,0.236,15,0.732,4,0.4244
0.676,0.793,21,0.711,2,0.5794
0.658,0.093,1,0.021,1,0.4122
0.07,0.437,22,0.998,0,0.2339
0.395,0.023,19,0.928,2,0.148
0.182,0.347,18,0.12,1,0.392
0.157,0.699,19,0.544,0,0.4879
0.827,0.09,19,0.315,2,0.5153
0.042,0.888,18,0.879,3,0.4166
0.419,0.909,18,0.698,0,0.5721
0.168,0.105,17,0.224,1,0.208
0.879,0.991,12,0.034,0,0.9133
0.557,0.298,16,0.292,0,0.4509
0.231,0.084,0,0.038,1,0.2948
0.502,0.005,20,0.141,3,0.4964
0.731,0.409,4,0.636,0,0.4416
0.958,0.63,19,0.745,1,0.6524
0.22,0.332,20,0.468,0,0.3015
0.886,0.837,12,0.6,4,0.6435
0.934,0.717,5,0.156,3,0.7022
0.916,0.35,9,0.317,4,0.6247
0.635,0.734,22,0.713,0,0.5869
0.63,0.94,8,0.365,3,0.7199
0.403,0.093,5,0.349,1,0.2314
0.752,0.306,0,0.194,4,0.4996
0.531,0.463,23,0.595,3,0.5845
0.677,0.498,17,0.81,3,0.5466
0.428,0.542,22,0.469,0,0.4201
0.731,0.301,6,0.116,4,0.6192
0.824,0.667,9,0.838,1,0.6427
0.146,0.645,11,0.071,2,0.4469
0.833,0.578,20,0.472,0,0.6127
0.54,0.114,23,0.261,3,0.4574
0.845,0.477,14,0.936,4,0.5115
0.431,0.356,16,0.738,2,0.3983
0.379,0.491,2,0.566,3,0.4378
0.915,0.922,14,0.668,4,0.7961
0.251,0.481,0,0.533,4,0.4939
0.844,0.014,10,0.148,2,0.4184
0.484,0.439,23,0.709,3,0.4417
0.514,0.821,5,0.493,2,0.6329
0.308,0.78,15,0.634,1,0.5511
0.573,0.513,20,0.045,0,0.4709
0.325,0.25,11,0.142,0,0.3157
0.039,0.465,21,0.589,1,0.2541
0.272,0.564,20,0.459,3,0.5536
0.006,1.0,14,0.227,2,0.6129
0.978,0.644,17,0.241,0,0.701
0.966,0.694,9,0.632,1,0.7016
0.395,0.491,21,0.059,4,0.633
0.728,0.354,11,0.434,0,0.492
0.346,0.813,19,0.523,0,0.5136
0.671,0.495,18,0.308,1,0.5013
0.805,0.995,4,0.821,2,0.6592
0.947,0.457,17,0.057,0,0.6555
0.4,0.068,18,0.866,2,0.3071
0.783,0.683,22,0.723,1,0.6369
0.266,0.047,11,0.446,4,0.3023
0.99,0.251,0,0.924,0,0.4099
0.026,0.354,1,0.702,2,0.1697
0.604,0.739,2,0.931,2,0.4726
0.66,0.494,11,0.473,3,0.5969
0.688,0.029,13,0.453,2,0.3707
0.12,0.617,6,0.531,2,0.3743
0.939,0.411,3,0.065,1,0.6245
0.181,0.922,11,0.908,2,0.4387
0.623,0.5,23,0.668,3,0.5432
0.223,0.709,7,0.618,4,0.3938
0.307,0.219,0,0.926,3,0.294
0.546,0.761,4,0.994,4,0.5905
0.417,0.721,0,0.163,0,0.5498
0.16,0.904,14,0.749,4,0.5491
0.171,0.034,12,0.58,4,0.1973
0.418,0.448,22,0.461,3,0.4904
0.757,0.679,12,0.978,1,0.494
0.898,0.095,3,0.85,1,0.3172
0.084,0.411,14,0.697,4,0.3334
0.393,0.942,11,0.383,3,0.6244
0.1,0.436,7,0.666,1,0.3353
0.017,0.985,15,0.532,1,0.5046
0.662,0.057,11,0.249,3,0.5041
0.602,0.718,23,0.45,4,0.654
0.163,0.581,5,0.212,0,0.4097
0.234,0.501,22,0.5,3,0.4604
0.024,0.971,14,0.72,3,0.5321
0.835,0.13,6,0.037,3,0.5672
0.975,0.896,4,0.765,4,0.7945
0.135,0.691,22,0.02,4,0.5833
0.231,0.259,14,0.517,3,0.3504
0.868,0.902,11,0.573,1,0.7522
0.926,0.429,10,0.761,0,0.6001
0.42,0.814,3,0.761,2,0.5033
0.051,0.389,12,0.417,3,0.3397
0.039,0.851,17,0.066,3,0.5751
0.574,0.637,7,0.694,4,0.4508
0.393,0.141,6,0.511,4,0.3614
0.029,0.65,21,0.333,2,0.4318
0.583,0.191,22,0.235,4,0.4722
0.011,0.412,15,0.12,4,0.4504
0.787,0.17,2,0.295,1,0.426
0.306,0.022,21,0.458,0,0.3119
0.04,0.212,15,0.478,1,0.2455
0.588,0.536,15,0.583,3,0.489
0.398,0.482,6,0.362,1,0.4366
0.974,0.501,22,0.92,2,0.5151
0.544,0.248,12,0.496,1,0.4343
0.275,0.685,12,0.424,4,0.6079
0.709,0.704,20,0.048,2,0.7111
0.271,0.358,18,0.599,2,0.3916
0.904,0.881,17,0.603,3,0.8371
0.375,0.644,6,0.583,3,0.4845
0.55,0.713,19,0.888,4,0.5053
0.051,0.277,17,0.763,0,0.289
0.426,0.001,23,0.867,2,0.2584
0.832,0.865,17,0.059,4,0.833
0.806,0.822,21,0.318,3,0.8596
0.224,0.123,3,0.319,3,0.4081
0.226,0.374,8,0.657,0,0.2471
0.817,0.661,20,0.449,2,0.7324
0.93,0.652,15,0.777,2,0.6575
0.095,0.86,3,0.384,4,0.6035
0.45,0.14,7,0.222,0,0.3169
0.337,0.43,2,0.291,1,0.4038
0.871,0.097,8,0.182,4,0.5067
0.084,0.39,7,0.198,2,0.4425
0.211,0.015,11,0.217,4,0.2861
0.752,0.898,13,0.016,4,0.7965
0.051,0.527,23,0.716,4,0.4529
0.493,0.85,9,0.4,4,0.6125
0.442,0.06,20,0.023,2,0.4413
0.334,0.227,16,0.37,0,0.3244
0.395,0.259,10,0.905,0,0.2351
0.53,0.387,9,0.511,3,0.4583
0.161,0.803,12,0.987,3,0.3875
0.572,0.387,1,0.54,1,0.3401
0.805,0.205,0,0.963,0,0.2908
0.76,0.065,21,0.202,4,0.6457
0.154,0.079,0,0.29,3,0.2074
0.149,0.76,15,0.7,4,0.588
0.268,0.445,9,0.987,1,0.3278
0.361,0.726,9,0.825,0,0.4142
0.408,0.682,6,0.554,2,0.4654
0.68,0.135,6,0.085,1,0.4389
0.057,0.143,0,0.364,2,0.2979
0.035,0.755,12,0.086,0,0.3944
0.392,0.721,4,0.311,2,0.5137
0.697,0.378,2,0.259,0,0.5063
0.193,0.077,12,0.389,4,0.3004
0.642,0.012,11,0.837,1,0.2936
0.26,0.288,17,0.15,4,0.346
0.886,0.009,4,0.306,0,0.4
0.896,0.23,4,0.261,0,0.4997
0.297,0.42,1,0.296,4,0.4204
0.23,0.121,5,0.361,4,0.2935
0.411,0.104,6,0.244,4,0.4406
0.241,0.896,0,0.943,1,0.4442
0.672,0.585,2,0.42,1,0.5416
0.826,0.934,19,0.114,0,0.893
0.673,0.346,1,0.468,3,0.451
0.824,0.677,9,0.184,4,0.7248
0.397,0.205,10,0.216,2,0.4767
0.156,0.618,20,0.285,2,0.4742
0.738,0.13,12,0.125,2,0.5836
0.36,0.002,15,0.721,4,0.2888
0.671,0.932,19,0.792,3,0.7568
0.271,0.555,10,0.394,3,0.5069
0.081,0.927,17,0.689,1,0.4449
0.993,0.334,10,0.389,3,0.6284
0.156,0.328,0,0.164,2,0.3502
0.988,0.401,23,0.397,2,0.6892
0.977,0.706,17,0.557,4,0.866
0.794,0.566,19,0.041,1,0.7112
0.659,0.925,4,0.654,0,0.5842
0.578,0.025,1,0.743,1,0.1917
0.866,0.708,17,0.86,0,0.6039
0.289,0.33,21,0.103,1,0.4187
0.468,0.18,6,0.0,3,0.3961
0.619,0.51,21,0.073,1,0.606
0.411,0.505,10,0.924,4,0.3618
0.427,0.137,10,0.766,0,0.1518
0.33,0.202,12,0.835,3,0.3181
0.564,0.408,3,0.517,3,0.5777
0.851,0.409,0,0.527,1,0.5363
0.202,0.318,17,0.299,3,0.3644
0.934,0.149,11,0.843,2,0.4855
0.689,0.004,9,0.83,2,0.4466
0.823,0.97,21,0.392,2,0.7809
0.556,0.943,7,0.329,1,0.5832
0.78,0.484,2,0.738,0,0.4812
0.016,0.995,6,0.026,1,0.6434
0.818,0.674,19,0.86,4,0.678
0.04,0.069,10,0.446,3,0.2185
0.89,0.118,6,0.441,2,0.4332
0.992,0.916,6,0.669,1,0.6637
0.294,0.63,8,0.646,1,0.3817
0.21,0.843,2,0.266,3,0.5286
0.765,0.898,10,0.943,1,0.7107
0.253,0.448,16,0.986,2,0.2156
0.866,0.049,7,0.526,3,0.5575
0.103,0.188,19,0.561,0,0.2938
0.126,0.067,1,0.554,2,0.1566
0.979,0.189,20,0.486,4,0.6272
0.674,0.411,19,0.945,4,0.4737
0.847,0.118,0,0.245,3,0.5732
0.324,0.167,15,0.108,2,0.3217
0.676,0.446,22,0.93,2,0.4277
0.594,0.34,3,0.213,2,0.5026
0.603,0.468,23,0.749,4,0.565
0.683,0.429,8,0.204,3,0.5722
0.575,0.644,7,0.96,4,0.4992
0.429,0.937,0,0.791,1,0.4725
0.276,0.108,7,0.919,0,0.1451
0.769,0.099,4,0.951,4,0.4295
0.226,0.853,0,0.084,3,0.6277
0.692,0.506,6,0.433,4,0.6204
0.233,0.766,14,0.648,1,0.4385
0.625,0.215,6,0.802,1,0.2793
0.747,0.829,0,0.241,1,0.7384
0.219,0.924,8,0.915,1,0.3737
0.06,0.635,0,0.221,0,0.3462
0.131,0.106,11,0.866,2,0.1908
0.606,0.895,6,0.513,1,0.773
0.849,0.792,8,0.515,0,0.639
0.045,0.751,4,0.374,4,0.5015
0.734,0.037,11,0.104,1,0.4606
0.341,0.799,21,0.347,4,0.7135
0.479,0.138,1,0.427,4,0.4089
0.929,0.222,17,0.479,3,0.5968
0.332,0.577,8,0.739,0,0.3927
0.465,0.265,0,0.352,0,0.3677
0.014,0.661,9,0.407,1,0.3661
0.082,0.608,13,0.906,1,0.1842
0.259,0.108,20,0.753,1,0.2221
0.028,0.656,13,0.023,0,0.466
0.631,0.924,6,0.812,4,0.6132
0.426,0.161,11,0.99,4,0.3082
0.548,0.597,21,0.94,1,0.4779
0.175,0.342,21,0.836,4,0.3465
0.296,0.46,5,0.629,1,0.3803
0.664,0.287,12,0.278,2,0.5085
0.965,0.354,7,0.654,4,0.5748
0.05,0.029,22,0.696,0,0.0482
0.89,0.982,20,0.282,3,0.7772
0.577,0.625,1,0.255,0,0.5353
0.564,0.501,9,0.397,0,0.4215
0.5,0.384,5,0.641,3,0.4527
0.069,0.539,15,0.293,1,0.371
0.09,0.38,9,0.556,4,0.3155
0.601,0.36,14,0.899,0,0.2969
0.341,0.464,20,0.295,4,0.5269
0.917,0.276,19,0.966,3,0.4169
0.407,0.18,9,0.473,3,0.3077
0.143,0.557,10,0.101,4,0.47
0.715,0.843,20,0.055,4,0.8431
0.293,0.153,1,0.339,3,0.3164
0.525,0.033,21,0.259,1,0.3828
0.698,0.247,9,0.844,4,0.4742
0.9,0.98,20,0.738,2,0.7434
0.792,0.829,11,0.885,2,0.6438
0.676,0.596,10,0.589,4,0.5411
0.68,0.929,21,0.435,0,0.6922
0.946,0.445,14,0.271,3,0.626
0.296,0.983,3,0.583,1,0.5343
0.001,0.296,4,0.618,2,0.2385
0.272,0.24,23,0.393,2,0.4218
0.218,0.638,0,0.937,0,0.2705
0.662,0.378,0,0.64,4,0.4939
0.634,0.626,9,0.837,0,0.4817
0.593,0.305,3,0.62,1,0.3526
0.016,0.618,12,0.317,4,0.4382
0.729,0.276,13,0.737,2,0.4843
0.324,0.051,18,0.23,2,0.3569
0.665,0.912,4,0.597,3,0.6336
0.557,0.883,10,0.402,1,0.6973
0.343,0.971,7,0.15,2,0.5459
0.135,0.717,0,0.413,0,0.3411
0.094,0.683,4,0.31,2,0.3829
0.832,0.559,20,0.112,0,0.6038
0.918,0.126,17,0.824,0,0.3919
0.65,0.189,12,0.499,4,0.5454
0.103,0.289,4,0.346,4,0.2728
0.402,0.89,23,0.505,2,0.6595
0.729,0.173,6,0.755,2,0.3919
0.78,0.923,11,0.018,0,0.8132
0.118,0.523,1,0.547,4,0.398
0.0,0.716,12,0.479,2,0.4601
0.712,0.11,13,0.893,4,0.493
0.357,0.269,5,0.556,1,0.273
0.254,0.959,15,0.137,0,0.5988
0.013,0.266,9,0.389,4,0.2724
0.54,0.297,10,0.621,2,0.3064
0.851,0.198,0,0.046,0,0.3884
0.958,0.129,14,0.885,3,0.4663
0.566,0.233,15,0.068,0,0.402
0.514,0.642,9,0.031,1,0.5441
0.085,0.455,9,0.002,0,0.4282
0.549,0.554,2,0.684,4,0.511
0.38,0.122,10,0.456,4,0.4224
0.607,0.802,10,0.103,2,0.7054
0.389,0.784,15,0.856,2,0.5299
0.24,0.022,5,0.203,0,0.2808
0.095,0.384,8,0.326,0,0.294
0.315,0.069,0,0.178,0,0.2607
0.097,0.792,5,0.927,4,0.3937
0.177,0.737,17,0.758,4,0.4985
0.987,0.902,12,0.724,3,0.7418
0.444,0.236,1,0.044,3,0.4382
0.532,0.456,18,0.523,3,0.4594
0.874,0.184,1,0.575,2,0.4187
0.996,0.371,3,0.383,4,0.6496
0.583,0.522,3,0.322,0,0.4105
0.812,0.053,9,0.852,0,0.3472
0.327,0.715,16,0.023,3,0.671
0.306,0.543,23,0.625,2,0.5457
0.403,0.829,15,0.394,2,0.5409
0.673,0.272,20,0.666,3,0.4639
0.682,0.903,7,0.198,0,0.7066
0.315,0.999,5,0.239,2,0.5899
0.133,0.919,1,0.587,1,0.4124
0.632,0.778,22,0.98,3,0.6146
0.128,0.812,14,0.975,0,0.3649
0.578,0.574,22,0.249,1,0.6207
0.693,0.19,10,0.102,4,0.4921
0.701,0.677,20,0.59,0,0.5747
0.753,0.713,15,0.42,1,0.6451
0.873,0.985,3,0.762,4,0.7204
0.5,0.541,10,0.528,2,0.4471
0.73,0.271,13,0.511,0,0.3731
0.619,0.684,7,0.646,0,0.529
0.187,0.979,5,0.126,2,0.5671
0.026,0.177,20,0.677,0,0.2049
0.285,0.326,22,0.489,3,0.3628
0.443,0.542,18,0.82,1,0.486
0.617,0.17,3,0.139,4,0.4634
0.85,0.022,3,0.301,4,0.436
0.196,0.337,23,0.95,1,0.3814
0.126,0.865,5,0.553,3,0.4542
0.963,0.043,10,0.929,0,0.3766
0.108,0.429,0,0.689,2,0.2822
0.478,0.762,1,0.926,2,0.4348
0.586,0.953,8,0.318,0,0.6402
0.541,0.985,15,0.091,4,0.793
0.086,0.422,5,0.802,1,0.2673
0.057,0.95,22,0.804,1,0.4863
0.105,0.035,8,0.619,4,0.2208
0.586,0.746,18,0.58,1,0.6089
0.544,0.643,4,0.915,4,0.3839
0.234,0.25,20,0.176,3,0.4011
0.638,0.507,9,0.617,0,0.4694
0.82,0.13,6,0.05,4,0.4156
0.042,0.872,1,0.141,3,0.5163
0.498,0.358,19,0.437,4,0.617
0.689,0.626,3,0.821,3,0.5627
0.252,0.159,7,0.733,3,0.2205
0.308,0.206,2,0.974,3,0.3479
0.614,0.992,1,0.045,0,0.6071
0.898,0.753,8,0.381,4,0.7114
0.81,0.962,10,0.159,4,0.8935
0.583,0.296,3,0.037,4,0.5164
0.73,0.165,8,0.264,3,0.5192
0.365,0.503,5,0.244,1,0.4907
0.641,0.495,0,0.42,1,0.5132
0.466,0.175,2,0.14,4,0.3515
0.19,0.733,6,0.489,1,0.3978
0.702,0.362,8,0.92,1,0.3912
0.556,0.186,7,0.748,1,0.3446
0.359,0.332,20,0.842,3,0.3902
0.911,0.564,12,0.805,4,0.5803
0.021,0.726,23,0.39,4,0.5003
0.316,0.482,17,0.709,2,0.459
0.057,0.526,18,0.754,2,0.2397
0.767,0.139,23,0.206,1,0.5085
0.702,0.915,8,0.86,4,0.712
0.331,0.929,23,0.458,1,0.6785
0.676,0.683,19,0.016,3,0.6359
0.396,0.018,5,0.643,4,0.2408
0.756,0.537,20,0.677,3,0.6925
0.454,0.629,11,0.552,3,0.454
0.412,0.995,3,0.212,4,0.7043
0.935,0.996,8,0.482,1,0.8073
0.251,0.858,9,0.4,2,0.5782
0.12,0.064,2,0.975,1,0.1167
0.585,0.953,16,0.825,2,0.6419
0.969,0.613,6,0.762,0,0.5752
0.378,0.801,7,0.181,2,0.5377
0.062,0.407,10,0.331,4,0.3882
0.339,0.32,12,0.38,2,0.4527
0.506,0.463,2,0.493,0,0.3191
0.162,0.147,18,0.03,2,0.3431
0.658,0.357,13,0.593,1,0.4181
0.998,0.858,21,0.358,2,0.8775
0.452,0.038,15,0.562,4,0.3307
0.355,0.151,14,0.009,4,0.5632
0.401,0.125,1,0.321,3,0.4108
0.115,0.403,5,0.769,1,0.2026
0.883,0.997,20,0.501,1,0.7355
0.415,0.173,6,0.789,2,0.3477
0.387,0.145,8,0.699,2,0.2754
0.66,0.915,8,0.855,4,0.5961
0.442,0.882,16,0.007,3,0.6582
0.648,0.032,22,0.261,0,0.4675
0.061,0.752,2,0.549,2,0.4096
0.814,0.655,3,0.941,1,0.4604
0.941,0.768,1,0.68,2,0.6436
0.649,0.495,0,0.457,3,0.5062
0.955,0.991,9,0.13,1,0.864
0.151,0.044,2,0.493,3,0.1617
0.477,0.234,9,0.441,1,0.3299
0.602,0.397,8,0.778,2,0.4005
0.582,0.45,16,0.413,3,0.5673
0.401,0.921,14,0.319,4,0.6198
0.338,0.56,2,0.09,1,0.5025
0.127,0.045,20,0.047,3,0.3212
0.392,0.408,2,0.439,3,0.4658
0.163,0.416,3,0.347,0,0.2489
0.734,0.965,3,0.555,0,0.6268
0.209,0.599,16,0.712,2,0.3959
0.059,0.636,5,0.04,4,0.5981
0.552,0.713,10,0.496,4,0.6164
0.595,0.77,11,0.862,3,0.5206
0.872,0.635,22,0.455,3,0.6244
0.577,0.237,6,0.521,3,0.431
0.345,0.874,12,0.487,1,0.5198
0.803,0.732,5,0.39,2,0.5967
0.54,0.742,22,0.11,2,0.7198
0.079,0.997,2,0.126,0,0.5042
0.566,0.803,20,0.179,3,0.7263
0.908,0.829,13,0.793,3,0.7112
0.396,0.951,13,0.275,1,0.6234
0.296,0.151,22,0.948,3,0.3623
0.143,0.498,9,0.81,3,0.2475
0.151,0.581,4,0.685,2,0.2675
0.433,0.329,1,0.72,3,0.322
0.596,0.839,5,0.048,1,0.6725
0.081,0.762,22,0.568,1,0.4985
0.94,0.721,10,0.941,4,0.5895
